CPF,Nome,Idade,Sexo,Localização,Historico_Compras,Preferencias_Produto
682.471.503-44,Vitória Lopes,61,Masculino,Correia,15,Acessórios
137.542.809-88,Enzo Gabriel Fogaça,59,Masculino,Farias,19,Vestidos
073.486.512-08,Eduarda Macedo,60,Feminino,Montenegro,20,Acessórios
298.314.765-73,Isaac Oliveira,58,Feminino,da Luz,10,Camisetas
712.863.945-46,Ana Lívia Sales,57,Masculino,Costa do Amparo,3,Acessórios
751.630.428-07,Henry Souza,43,Feminino,Nunes Grande,18,Vestidos
963.470.521-99,Sra. Maria Júlia Aparecida,53,Feminino,Freitas do Sul,18,Calças
159.783.026-77,Ana Clara Moura,33,Feminino,Correia do Campo,18,Camisetas
586.217.094-49,Lucca da Cunha,64,Feminino,Mendes,16,Camisetas
016.845.927-20,Rhavi Pastor,18,Feminino,da Mota,7,Vestidos
436.891.205-51,Davi Miguel Pastor,62,Feminino,Marques das Pedras,15,Camisetas
031.642.785-35,Ágatha Aragão,27,Feminino,Casa Grande Alegre,20,Camisetas
639.215.748-46,Nina Souza,33,Masculino,Guerra,17,Calças
417.605.832-35,Dra. Maria Flor Leão,24,Feminino,Aparecida Grande,4,Acessórios
436.508.217-53,Sofia Sá,64,Feminino,Viana,2,Acessórios
248.513.760-90,Liz Casa Grande,63,Masculino,da Conceição de Machado,17,Acessórios
806.179.324-50,Juan Monteiro,51,Masculino,Duarte,14,Calças
356.901.874-10,Henry Moraes,64,Masculino,Souza das Flores,4,Acessórios
084.521.739-97,Théo Gonçalves,35,Feminino,Pinto,8,Acessórios
582.910.734-14,Aurora Albuquerque,54,Masculino,Barbosa,7,Camisetas
762.835.019-40,Luara Montenegro,25,Masculino,Silveira,7,Calças
961.852.704-20,Samuel Jesus,27,Feminino,da Costa Alegre,5,Acessórios
054.329.861-24,Bruna Peixoto,22,Feminino,Teixeira da Serra,5,Camisetas
974.501.623-34,Davi Freitas,18,Feminino,Barbosa de Sales,19,Camisetas
741.306.928-87,Alexia Pereira,56,Feminino,Lima do Campo,7,Calças
849.571.023-41,Dr. Matteo Almeida,36,Masculino,Viana,14,Calças
605.317.284-71,Anthony Gabriel Lopes,48,Feminino,Lima Alegre,2,Acessórios
106.435.287-17,Dr. Nicolas Gomes,20,Masculino,Marques Grande,10,Acessórios
794.528.316-00,Leandro Martins,35,Masculino,Souza,7,Camisetas
067.592.384-00,Sr. Valentim Silveira,55,Masculino,Cassiano,20,Vestidos
297.318.450-97,Amanda da Paz,25,Feminino,Rodrigues Grande,5,Acessórios
841.759.260-11,Luara Azevedo,25,Feminino,da Luz,14,Calças
879.543.620-00,Yago Cavalcante,26,Masculino,Melo Paulista,13,Calças
205.417.936-16,Sophie Pereira,20,Masculino,Freitas do Galho,1,Vestidos
714.208.536-35,Rhavi Pereira,47,Feminino,Nascimento,5,Camisetas
106.594.782-85,Ana Lívia Sousa,65,Masculino,Brito,16,Calças
058.279.136-77,Aurora Cavalcante,46,Feminino,Souza,5,Camisetas
827.649.015-85,Rodrigo Rodrigues,65,Masculino,da Conceição de da Luz,7,Calças
617.290.345-43,Ísis Sampaio,24,Masculino,Almeida da Serra,5,Calças
794.815.260-11,João Guilherme Rodrigues,28,Masculino,Gonçalves Verde,16,Acessórios
378.201.496-04,Oliver da Paz,65,Feminino,Ribeiro,0,Acessórios
436.125.807-44,Carlos Eduardo Nogueira,40,Masculino,Sampaio de Sá,20,Vestidos
574.380.269-65,Helena Aparecida,41,Feminino,da Mota,11,Camisetas
831.527.406-62,Valentim Ribeiro,53,Feminino,Casa Grande de da Rocha,12,Camisetas
710.495.268-30,Liz Santos,50,Masculino,Aparecida,13,Camisetas
479.208.315-04,Dr. João da Costa,42,Feminino,Moraes de Novais,2,Calças
760.592.843-29,Lucca Santos,56,Feminino,Oliveira de Moura,7,Camisetas
964.051.728-30,Ravi da Rocha,33,Masculino,Araújo,4,Vestidos
328.475.160-26,Srta. Alice Alves,60,Masculino,Freitas das Pedras,17,Vestidos
459.237.168-28,Eduarda Pastor,44,Feminino,da Rosa,9,Camisetas
946.572.380-00,Maria Luiza Moreira,25,Masculino,Fonseca do Norte,17,Acessórios
041.793.568-48,Carlos Eduardo Alves,26,Feminino,Mendes de Teixeira,0,Camisetas
126.395.870-21,Sra. Helena Souza,53,Feminino,Almeida,7,Camisetas
548.019.372-41,Ravi Barbosa,19,Feminino,Duarte Paulista,1,Vestidos
714.253.098-79,Heitor Fogaça,26,Feminino,Souza,1,Acessórios
465.289.170-94,João Pedro Pinto,51,Masculino,Camargo da Mata,7,Acessórios
159.802.437-04,Ana Liz Monteiro,47,Masculino,da Mota de Rezende,12,Camisetas
582.493.167-46,Carolina Vargas,48,Masculino,Alves,15,Acessórios
798.143.265-00,Laís Moraes,49,Masculino,Garcia,19,Vestidos
079.685.234-00,Hadassa Souza,42,Masculino,Rodrigues,14,Calças
879.520.413-04,Maria Laura Rodrigues,23,Masculino,Farias de Goiás,13,Vestidos
789.314.560-93,Dr. Paulo Costela,60,Feminino,Gonçalves,1,Acessórios
897.264.503-65,Maria Vitória Monteiro,35,Masculino,Casa Grande de Dias,3,Vestidos
985.460.327-00,Renan Rodrigues,41,Masculino,Rios Grande,0,Vestidos
318.960.745-10,Theo Ferreira,56,Feminino,Rodrigues,1,Acessórios
579.482.016-02,Dr. Heitor Azevedo,34,Masculino,Rodrigues da Praia,11,Calças
965.432.071-16,Sabrina Duarte,47,Feminino,Sampaio,18,Calças
240.578.963-92,Theo Araújo,49,Feminino,Costa,12,Vestidos
165.098.432-42,Luiz Otávio Pastor,60,Masculino,Porto Grande,6,Camisetas
852.713.604-07,Sra. Luísa Machado,40,Masculino,Lopes,5,Calças
159.364.087-01,Sr. Thiago Ramos,41,Feminino,Fonseca,18,Camisetas
375.104.269-52,Julia Costa,50,Feminino,da Cruz,15,Calças
729.514.638-55,Sr. Matheus Gonçalves,54,Feminino,Viana de Lima,13,Vestidos
726.193.540-99,Breno Barbosa,34,Feminino,Correia de Mendes,15,Calças
016.798.432-22,Caroline Freitas,48,Masculino,Nunes Alegre,7,Acessórios
987.653.241-37,Renan Teixeira,43,Feminino,da Rocha,15,Vestidos
678.532.904-38,Sra. Liz Pereira,38,Masculino,Aparecida de Camargo,11,Camisetas
975.124.860-49,Lavínia Moraes,49,Feminino,Montenegro das Pedras,17,Camisetas
307.926.154-25,Maria Pacheco,52,Masculino,Almeida do Sul,9,Camisetas
610.783.592-02,Fernando Ribeiro,47,Masculino,Novais,16,Calças
506.327.981-30,Liam Marques,42,Feminino,Barbosa do Norte,13,Acessórios
674.203.159-06,Sr. Henry Cassiano,38,Feminino,Vasconcelos,0,Calças
017.682.549-58,Yuri Monteiro,24,Feminino,Teixeira,6,Acessórios
371.508.496-01,Dra. Aylla Porto,18,Feminino,Guerra de Andrade,13,Acessórios
602.581.743-07,Srta. Fernanda Leão,30,Masculino,Abreu,5,Camisetas
936.204.185-51,Igor Vasconcelos,29,Masculino,Carvalho de da Paz,8,Acessórios
754.896.031-00,Levi Sá,18,Masculino,Aparecida de Minas,0,Camisetas
715.826.403-35,Sra. Maria Flor Camargo,21,Feminino,Martins,19,Camisetas
194.750.683-84,Stella Fogaça,46,Masculino,Correia,11,Vestidos
650.274.193-25,Yuri Gonçalves,52,Feminino,Melo,10,Camisetas
409.832.157-23,Sr. Enzo Gabriel Santos,61,Feminino,Sales,6,Acessórios
459.782.160-02,Antônio Fernandes,60,Masculino,da Rosa de Nunes,1,Calças
307.564.128-62,Brenda Garcia,32,Feminino,Azevedo da Praia,12,Acessórios
651.947.038-48,Sara Lopes,22,Masculino,Castro de Pinto,19,Camisetas
920.514.873-32,Josué Ramos,53,Masculino,Moraes dos Dourados,0,Acessórios
671.920.348-78,Ana Carolina Mendes,52,Masculino,da Paz do Amparo,17,Camisetas
401.235.867-71,Kaique da Cruz,47,Feminino,Viana,7,Camisetas
190.763.845-84,Vitória Jesus,65,Masculino,da Luz,18,Camisetas
490.615.723-80,Benjamin Sousa,65,Masculino,Cirino,7,Vestidos
930.845.672-47,Leandro Casa Grande,58,Masculino,Rezende,4,Calças
674.290.185-30,Dr. Alexandre Moraes,36,Feminino,Novaes,7,Calças
289.175.436-00,Milena Costela,38,Feminino,Rezende das Pedras,7,Calças
640.392.751-52,Olivia Marques,21,Masculino,Vieira,8,Vestidos
371.852.694-82,Sofia Almeida,41,Masculino,Rezende,2,Vestidos
796.345.210-61,Sophie Ramos,18,Feminino,Pimenta,11,Acessórios
325.471.986-73,Sra. Clara Nascimento,51,Feminino,Duarte da Prata,2,Vestidos
705.836.214-90,José Nogueira,24,Feminino,Silveira de Minas,5,Acessórios
269.751.043-52,Sra. Maria Eduarda Jesus,31,Feminino,Moreira da Prata,9,Vestidos
340.521.896-98,Henry Gabriel da Cunha,23,Feminino,Castro Grande,0,Camisetas
506.278.149-30,Nicole Cavalcanti,60,Feminino,da Rocha de Leão,5,Camisetas
064.823.195-05,Arthur Miguel Pires,22,Feminino,Brito,5,Acessórios
354.906.781-00,Ravi Siqueira,28,Feminino,Moreira,1,Calças
240.965.871-76,Caio da Cunha,52,Masculino,Pastor,1,Acessórios
681.975.320-95,Olívia Dias,41,Masculino,Cavalcanti da Prata,12,Camisetas
601.549.782-30,Maya Albuquerque,37,Feminino,da Rocha,19,Calças
027.564.198-85,Maria Melo,63,Masculino,Ribeiro,20,Acessórios
597.630.421-43,Nicole Pastor,20,Feminino,Andrade do Norte,14,Calças
