CPF,Nome,Idade,Sexo,Localização,Historico_Compras,Preferencias_Produto
594.283.017-79,Ágatha Araújo,65,Feminino,Castro,11,Camisetas
985.016.273-21,Dr. João Lucas Pastor,54,Masculino,Ribeiro,3,Acessórios
489.310.625-24,Ana Sophia Albuquerque,22,Masculino,Fonseca,8,Calças
862.047.931-87,Stella Cirino,35,Masculino,Nascimento,11,Vestidos
546.801.392-42,Maria Cecília Nunes,42,Masculino,Gomes,15,Calças
467.021.893-03,Srta. Alexia da Luz,42,Feminino,Machado do Oeste,20,Calças
791.428.630-31,Dr. Liam Camargo,42,Feminino,Cassiano,2,Calças
618.279.435-64,Luan Aparecida,40,Feminino,Santos da Serra,7,Acessórios
630.249.571-70,Julia Mendonça,60,Feminino,Rodrigues de Cunha,15,Calças
758.091.642-85,Cauã da Cunha,40,Feminino,Duarte,10,Acessórios
316.092.875-68,Arthur Gabriel Barbosa,43,Masculino,Macedo,5,Acessórios
867.912.405-20,Asafe Ferreira,32,Masculino,da Conceição,4,Camisetas
038.549.176-00,Théo Fogaça,31,Masculino,da Rosa,7,Acessórios
089.423.615-60,Manuella Silva,53,Feminino,Carvalho de Goiás,18,Calças
690.813.427-03,João Vitor Araújo,36,Feminino,Fonseca,19,Acessórios
201.974.635-25,Sr. Arthur Gabriel Sampaio,57,Masculino,Montenegro Grande,13,Calças
829.354.601-89,Diogo da Mota,22,Feminino,Caldeira de Minas,7,Vestidos
054.287.963-83,Sr. João Felipe das Neves,51,Masculino,Pacheco,1,Calças
725.801.439-04,Antônio Peixoto,59,Feminino,Pires,15,Camisetas
690.327.814-13,Erick Jesus,55,Masculino,Barbosa,17,Calças
607.842.593-56,Liam Cirino,27,Feminino,da Cunha da Praia,14,Vestidos
213.094.675-52,Dra. Kamilly Fonseca,60,Feminino,da Cruz,6,Acessórios
835.167.290-40,Carolina Almeida,29,Masculino,Barbosa das Pedras,8,Vestidos
905.142.867-76,Sra. Melina Abreu,36,Feminino,Campos de Casa Grande,14,Acessórios
145.830.629-15,Joana Porto,31,Feminino,da Mata de Goiás,14,Calças
069.325.487-47,Srta. Eloá Sousa,29,Masculino,Pinto,9,Calças
167.923.805-12,Mariana Pastor,61,Masculino,Rezende Verde,1,Acessórios
791.683.045-01,Ana Sophia Viana,31,Masculino,Cardoso,14,Calças
435.170.928-60,Davi Lucca Novais,42,Feminino,Rios do Sul,7,Calças
183.496.250-15,Mathias Vasconcelos,63,Feminino,Araújo da Serra,2,Acessórios
213.970.845-88,Júlia Mendes,32,Masculino,Porto,3,Camisetas
973.461.820-22,Gabriel Nunes,32,Masculino,Rios do Sul,4,Vestidos
506.398.427-47,Ana Clara Costa,33,Feminino,da Luz de Albuquerque,11,Calças
